# Time (s),Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
89.896,17.474,269.934,7.192e4,0.053
90.396,17.467,269.991,7.2e4,0.053
90.896,17.458,270.048,7.208e4,0.053
91.396,17.45,270.104,7.216e4,0.053
91.896,17.443,270.161,7.224e4,0.053
92.396,17.435,270.218,7.232e4,0.053
92.896,17.427,270.274,7.239e4,0.053
93.396,17.42,270.331,7.247e4,0.053
93.896,17.412,270.388,7.255e4,0.053
94.396,17.405,270.444,7.263e4,0.053
94.896,17.396,270.501,7.271e4,0.053
95.396,17.388,270.557,7.279e4,0.053
95.896,17.381,270.614,7.287e4,0.053
96.396,17.373,270.671,7.295e4,0.053
96.896,17.367,270.727,7.303e4,0.053
97.396,17.358,270.783,7.311e4,0.053
97.896,17.35,270.84,7.319e4,0.053
98.396,17.343,270.896,7.327e4,0.053
98.896,17.336,270.953,7.335e4,0.053
99.396,17.327,271.009,7.343e4,0.053
99.896,17.32,271.065,7.351e4,0.053
100.396,17.313,271.122,7.359e4,0.052
100.896,17.305,271.178,7.367e4,0.052
101.396,17.298,271.234,7.375e4,0.052
101.896,17.29,271.29,7.382e4,0.052
102.396,17.283,271.347,7.39e4,0.052
102.896,17.275,271.403,7.398e4,0.052
103.396,17.269,271.459,7.406e4,0.052
103.896,17.26,271.515,7.414e4,0.052
104.396,17.253,271.571,7.422e4,0.052
104.896,17.246,271.627,7.43e4,0.052
105.396,17.238,271.683,7.438e4,0.052
105.896,17.231,271.739,7.446e4,0.052
106.396,17.224,271.795,7.454e4,0.052
106.896,17.216,271.851,7.461e4,0.052
107.396,17.209,271.907,7.469e4,0.052
107.896,17.201,271.963,7.478e4,0.052
108.396,17.194,272.019,7.486e4,0.052
108.896,17.186,272.075,7.494e4,0.052
109.396,17.179,272.131,7.502e4,0.052
109.896,17.171,272.187,7.511e4,0.052
110.396,17.163,272.243,7.519e4,0.052
110.896,17.156,272.298,7.527e4,0.052
111.396,17.148,272.354,7.536e4,0.052
111.896,17.14,272.41,7.544e4,0.052
112.396,17.133,272.466,7.552e4,0.052
112.896,17.125,272.521,7.56e4,0.052
113.396,17.118,272.577,7.568e4,0.052
113.896,17.111,272.633,7.577e4,0.052
114.396,17.102,272.688,7.585e4,0.052
114.896,17.095,272.744,7.593e4,0.052
115.396,17.087,272.799,7.601e4,0.052
115.896,17.08,272.855,7.61e4,0.052
116.396,17.072,272.91,7.618e4,0.052
116.896,17.065,272.966,7.626e4,0.052
117.396,17.058,273.021,7.634e4,0.052
117.896,17.05,273.077,7.643e4,0.051
118.396,17.044,273.132,7.651e4,0.051
118.896,17.034,273.188,7.659e4,0.051
119.396,17.027,273.243,7.667e4,0.051
119.896,17.021,273.298,7.675e4,0.051
120.396,17.013,273.354,7.684e4,0.051
120.896,17.005,273.409,7.692e4,0.051
121.396,16.999,273.464,7.7e4,0.051
121.896,16.991,273.52,7.708e4,0.051
122.396,16.984,273.575,7.716e4,0.051
122.896,16.977,273.63,7.724e4,0.051
123.396,16.97,273.685,7.733e4,0.051
123.896,16.963,273.74,7.741e4,0.051
124.396,16.955,273.795,7.749e4,0.051
124.896,16.948,273.851,7.757e4,0.051
125.396,16.941,273.906,7.765e4,0.051
125.896,16.933,273.961,7.773e4,0.051
126.396,16.926,274.016,7.782e4,0.051
126.896,16.919,274.071,7.79e4,0.051
127.396,16.913,274.126,7.798e4,0.051
127.896,16.904,274.181,7.806e4,0.051
128.396,16.897,274.236,7.814e4,0.051
128.896,16.891,274.291,7.822e4,0.051
129.396,16.884,274.346,7.83e4,0.051
129.896,16.878,274.4,7.839e4,0.051
130.396,16.869,274.455,7.847e4,0.051
130.896,16.863,274.51,7.855e4,0.051
131.396,16.855,274.565,7.863e4,0.051
131.896,16.848,274.62,7.871e4,0.051
132.396,16.844,274.674,7.879e4,0.051
132.896,16.833,274.729,7.887e4,0.051
133.396,16.827,274.784,7.895e4,0.051
133.896,16.82,274.839,7.903e4,0.051
134.396,16.814,274.893,7.912e4,0.051
134.896,16.807,274.948,7.92e4,0.051
135.396,16.8,275.003,7.928e4,0.051
135.896,16.793,275.057,7.936e4,0.051
136.396,16.787,275.112,7.944e4,0.051
136.896,16.779,275.166,7.952e4,0.05
137.396,16.772,275.221,7.961e4,0.05
137.896,16.766,275.275,7.969e4,0.05
138.396,16.757,275.33,7.978e4,0.05
138.896,16.751,275.384,7.986e4,0.05
139.396,16.743,275.439,7.994e4,0.05
139.896,16.736,275.493,8.003e4,0.05
140.396,16.728,275.548,8.011e4,0.05
140.896,16.721,275.602,8.02e4,0.05
141.396,16.715,275.656,8.028e4,0.05
141.896,16.707,275.711,8.037e4,0.05
142.396,16.7,275.765,8.045e4,0.05
142.896,16.693,275.819,8.054e4,0.05
143.396,16.686,275.874,8.062e4,0.05
143.896,16.679,275.928,8.071e4,0.05
144.396,16.672,275.982,8.079e4,0.05
144.896,16.665,276.036,8.088e4,0.05
145.396,16.658,276.09,8.096e4,0.05
145.896,16.651,276.145,8.104e4,0.05
146.396,16.643,276.199,8.113e4,0.05
146.896,16.637,276.253,8.121e4,0.05
147.396,16.63,276.307,8.13e4,0.05
147.896,16.622,276.361,8.138e4,0.05
148.396,16.616,276.415,8.146e4,0.05
148.896,16.61,276.469,8.155e4,0.05
149.396,16.601,276.523,8.163e4,0.05
149.896,16.595,276.577,8.172e4,0.05
150.396,16.588,276.631,8.18e4,0.05
150.896,16.581,276.685,8.189e4,0.05
151.396,16.574,276.739,8.197e4,0.05
151.896,16.567,276.793,8.205e4,0.05
152.396,16.561,276.846,8.214e4,0.05
152.896,16.554,276.9,8.222e4,0.05
153.396,16.547,276.954,8.23e4,0.05
153.896,16.541,277.008,8.239e4,0.05
154.396,16.533,277.062,8.247e4,0.05
154.896,16.527,277.115,8.256e4,0.05
155.396,16.52,277.169,8.264e4,0.05
155.896,16.513,277.223,8.272e4,0.049
156.396,16.506,277.276,8.281e4,0.049
156.896,16.5,277.33,8.289e4,0.049
157.396,16.493,277.384,8.297e4,0.049
157.896,16.486,277.437,8.306e4,0.049
158.396,16.48,277.491,8.314e4,0.049
158.896,16.473,277.544,8.322e4,0.049
159.396,16.466,277.598,8.331e4,0.049
159.896,16.46,277.652,8.339e4,0.049
160.396,16.453,277.705,8.347e4,0.049
160.896,16.447,277.759,8.356e4,0.049
161.396,16.439,277.812,8.364e4,0.049
161.896,16.434,277.865,8.372e4,0.049
162.396,16.426,277.919,8.381e4,0.049
162.896,16.42,277.972,8.389e4,0.049
163.396,16.414,278.026,8.397e4,0.049
163.896,16.407,278.079,8.406e4,0.049
164.396,16.4,278.132,8.414e4,0.049
164.896,16.394,278.186,8.422e4,0.049
165.396,16.387,278.239,8.431e4,0.049
165.896,16.381,278.292,8.439e4,0.049
166.396,16.375,278.345,8.447e4,0.049
166.896,16.368,278.399,8.455e4,0.049
167.396,16.362,278.452,8.464e4,0.049
167.896,16.354,278.505,8.473e4,0.049
168.396,16.348,278.558,8.481e4,0.049
168.896,16.341,278.611,8.49e4,0.049
169.396,16.334,278.664,8.499e4,0.049
169.896,16.327,278.718,8.508e4,0.049
170.396,16.321,278.771,8.516e4,0.049
170.896,16.314,278.824,8.525e4,0.049
171.396,16.307,278.877,8.534e4,0.049
171.896,16.301,278.93,8.542e4,0.049
172.396,16.294,278.983,8.551e4,0.049
172.896,16.287,279.036,8.56e4,0.049
173.396,16.281,279.089,8.568e4,0.049
173.896,16.274,279.142,8.577e4,0.049
174.396,16.268,279.194,8.586e4,0.049
174.896,16.26,279.247,8.594e4,0.049
175.396,16.254,279.3,8.603e4,0.049
175.896,16.247,279.353,8.612e4,0.049
176.396,16.241,279.406,8.62e4,0.048
176.896,15.82,279.459,8.629e4,0.048
177.396,15.668,279.511,8.637e4,0.047
177.896,15.608,279.562,8.646e4,0.047
178.396,15.582,279.613,8.654e4,0.047
178.896,15.569,279.663,8.662e4,0.046
179.396,15.56,279.714,8.671e4,0.046
179.896,15.553,279.765,8.679e4,0.046
180.396,15.547,279.815,8.687e4,0.046
180.896,15.541,279.866,8.695e4,0.046
181.396,15.535,279.916,8.704e4,0.046
181.896,15.529,279.967,8.712e4,0.046
182.396,15.523,280.017,8.72e4,0.046
182.896,15.517,280.068,8.729e4,0.046
183.396,15.511,280.118,8.737e4,0.046
183.896,15.505,280.168,8.745e4,0.046
184.396,15.5,280.219,8.753e4,0.046
184.896,15.492,280.269,8.762e4,0.046
185.396,15.487,280.32,8.77e4,0.046
185.896,15.482,280.37,8.778e4,0.046
186.396,15.476,280.42,8.786e4,0.046
186.896,15.47,280.471,8.794e4,0.046
187.396,15.464,280.521,8.803e4,0.046
187.896,15.458,280.571,8.811e4,0.046
188.396,15.453,280.621,8.819e4,0.046
188.896,15.446,280.672,8.827e4,0.046
189.396,15.441,280.722,8.836e4,0.046
189.896,15.434,280.772,8.844e4,0.046
190.396,15.429,280.822,8.852e4,0.046
190.896,15.424,280.872,8.86e4,0.046
191.396,15.418,280.922,8.868e4,0.046
191.896,15.412,280.973,8.877e4,0.046
192.396,15.406,281.023,8.885e4,0.046
192.896,15.401,281.073,8.893e4,0.046
193.396,15.395,281.123,8.901e4,0.046
193.896,15.389,281.173,8.909e4,0.046
194.396,15.383,281.223,8.918e4,0.046
194.896,15.378,281.273,8.926e4,0.046
195.396,15.372,281.323,8.934e4,0.046
195.896,15.367,281.373,8.942e4,0.046
196.396,15.361,281.423,8.95e4,0.046
196.896,15.355,281.473,8.958e4,0.046
197.396,15.35,281.523,8.967e4,0.046
197.896,15.344,281.573,8.975e4,0.046
198.396,15.338,281.622,8.983e4,0.046
198.896,15.333,281.672,8.991e4,0.046
199.396,15.327,281.722,9e4,0.046
199.896,15.321,281.772,9.008e4,0.046
200.396,15.315,281.822,9.017e4,0.046
200.896,15.309,281.871,9.026e4,0.046
201.396,15.303,281.921,9.034e4,0.045
201.896,15.298,281.971,9.043e4,0.045
202.396,15.291,282.021,9.051e4,0.045
202.896,15.286,282.07,9.06e4,0.045
203.396,15.279,282.12,9.068e4,0.045
203.896,15.274,282.17,9.077e4,0.045
204.396,15.268,282.219,9.085e4,0.045
204.896,15.263,282.269,9.094e4,0.045
205.363,15.257,282.319,9.102e4,0.045
