# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
17.021,273.298,7.675e4,0.051
17.013,273.354,7.684e4,0.051
17.005,273.409,7.692e4,0.051
16.999,273.464,7.7e4,0.051
16.991,273.52,7.708e4,0.051
16.984,273.575,7.716e4,0.051
16.977,273.63,7.724e4,0.051
16.97,273.685,7.733e4,0.051
16.963,273.74,7.741e4,0.051
16.955,273.795,7.749e4,0.051
16.948,273.851,7.757e4,0.051
16.941,273.906,7.765e4,0.051
16.933,273.961,7.773e4,0.051
16.926,274.016,7.782e4,0.051
16.919,274.071,7.79e4,0.051
16.913,274.126,7.798e4,0.051
16.904,274.181,7.806e4,0.051
16.897,274.236,7.814e4,0.051
16.891,274.291,7.822e4,0.051
16.884,274.346,7.83e4,0.051
16.878,274.4,7.839e4,0.051
16.869,274.455,7.847e4,0.051
16.863,274.51,7.855e4,0.051
16.855,274.565,7.863e4,0.051
16.848,274.62,7.871e4,0.051
16.844,274.674,7.879e4,0.051
16.833,274.729,7.887e4,0.051
16.827,274.784,7.895e4,0.051
16.82,274.839,7.903e4,0.051
16.814,274.893,7.912e4,0.051
16.807,274.948,7.92e4,0.051
16.8,275.003,7.928e4,0.051
16.793,275.057,7.936e4,0.051
16.787,275.112,7.944e4,0.051
16.779,275.166,7.952e4,0.05
16.772,275.221,7.961e4,0.05
16.766,275.275,7.969e4,0.05
16.757,275.33,7.978e4,0.05
16.751,275.384,7.986e4,0.05
16.743,275.439,7.994e4,0.05
16.736,275.493,8.003e4,0.05
16.728,275.548,8.011e4,0.05
16.721,275.602,8.02e4,0.05
16.715,275.656,8.028e4,0.05
16.707,275.711,8.037e4,0.05
16.7,275.765,8.045e4,0.05
16.693,275.819,8.054e4,0.05
16.686,275.874,8.062e4,0.05
16.679,275.928,8.071e4,0.05
16.672,275.982,8.079e4,0.05
16.665,276.036,8.088e4,0.05
16.658,276.09,8.096e4,0.05
16.651,276.145,8.104e4,0.05
16.643,276.199,8.113e4,0.05
16.637,276.253,8.121e4,0.05
16.63,276.307,8.13e4,0.05
16.622,276.361,8.138e4,0.05
16.616,276.415,8.146e4,0.05
16.61,276.469,8.155e4,0.05
16.601,276.523,8.163e4,0.05
16.595,276.577,8.172e4,0.05
16.588,276.631,8.18e4,0.05
16.581,276.685,8.189e4,0.05
16.574,276.739,8.197e4,0.05
16.567,276.793,8.205e4,0.05
16.561,276.846,8.214e4,0.05
16.554,276.9,8.222e4,0.05
16.547,276.954,8.23e4,0.05
16.541,277.008,8.239e4,0.05
16.533,277.062,8.247e4,0.05
16.527,277.115,8.256e4,0.05
16.52,277.169,8.264e4,0.05
16.513,277.223,8.272e4,0.049
16.506,277.276,8.281e4,0.049
16.5,277.33,8.289e4,0.049
16.493,277.384,8.297e4,0.049
16.486,277.437,8.306e4,0.049
16.48,277.491,8.314e4,0.049
16.473,277.544,8.322e4,0.049
16.466,277.598,8.331e4,0.049
16.46,277.652,8.339e4,0.049
16.453,277.705,8.347e4,0.049
16.447,277.759,8.356e4,0.049
16.439,277.812,8.364e4,0.049
16.434,277.865,8.372e4,0.049
16.426,277.919,8.381e4,0.049
16.42,277.972,8.389e4,0.049
16.414,278.026,8.397e4,0.049
16.407,278.079,8.406e4,0.049
16.4,278.132,8.414e4,0.049
16.394,278.186,8.422e4,0.049
16.387,278.239,8.431e4,0.049
16.381,278.292,8.439e4,0.049
16.375,278.345,8.447e4,0.049
16.368,278.399,8.455e4,0.049
16.362,278.452,8.464e4,0.049
16.354,278.505,8.473e4,0.049
16.348,278.558,8.481e4,0.049
16.341,278.611,8.49e4,0.049
16.334,278.664,8.499e4,0.049
16.327,278.718,8.508e4,0.049
16.321,278.771,8.516e4,0.049
16.314,278.824,8.525e4,0.049
16.307,278.877,8.534e4,0.049
16.301,278.93,8.542e4,0.049
16.294,278.983,8.551e4,0.049
16.287,279.036,8.56e4,0.049
16.281,279.089,8.568e4,0.049
16.274,279.142,8.577e4,0.049
16.268,279.194,8.586e4,0.049
16.26,279.247,8.594e4,0.049
16.254,279.3,8.603e4,0.049
16.247,279.353,8.612e4,0.049
16.241,279.406,8.62e4,0.048
15.82,279.459,8.629e4,0.048
15.668,279.511,8.637e4,0.047
15.608,279.562,8.646e4,0.047
15.582,279.613,8.654e4,0.047
15.569,279.663,8.662e4,0.046
15.56,279.714,8.671e4,0.046
15.553,279.765,8.679e4,0.046
15.547,279.815,8.687e4,0.046
15.541,279.866,8.695e4,0.046
15.535,279.916,8.704e4,0.046
15.529,279.967,8.712e4,0.046
15.523,280.017,8.72e4,0.046
15.517,280.068,8.729e4,0.046
15.511,280.118,8.737e4,0.046
15.505,280.168,8.745e4,0.046
15.5,280.219,8.753e4,0.046
15.492,280.269,8.762e4,0.046
15.487,280.32,8.77e4,0.046
15.482,280.37,8.778e4,0.046
15.476,280.42,8.786e4,0.046
15.47,280.471,8.794e4,0.046
15.464,280.521,8.803e4,0.046
15.458,280.571,8.811e4,0.046
15.453,280.621,8.819e4,0.046
15.446,280.672,8.827e4,0.046
15.441,280.722,8.836e4,0.046
15.434,280.772,8.844e4,0.046
15.429,280.822,8.852e4,0.046
15.424,280.872,8.86e4,0.046
15.418,280.922,8.868e4,0.046
15.412,280.973,8.877e4,0.046
15.406,281.023,8.885e4,0.046
15.401,281.073,8.893e4,0.046
15.395,281.123,8.901e4,0.046
15.389,281.173,8.909e4,0.046
15.383,281.223,8.918e4,0.046
15.378,281.273,8.926e4,0.046
15.372,281.323,8.934e4,0.046
15.367,281.373,8.942e4,0.046
15.361,281.423,8.95e4,0.046
15.355,281.473,8.958e4,0.046
15.35,281.523,8.967e4,0.046
15.344,281.573,8.975e4,0.046
15.338,281.622,8.983e4,0.046
15.333,281.672,8.991e4,0.046
15.327,281.722,9e4,0.046
15.321,281.772,9.008e4,0.046
15.315,281.822,9.017e4,0.046
15.309,281.871,9.026e4,0.046
15.303,281.921,9.034e4,0.045
15.298,281.971,9.043e4,0.045
15.291,282.021,9.051e4,0.045
15.286,282.07,9.06e4,0.045
15.279,282.12,9.068e4,0.045
15.274,282.17,9.077e4,0.045
15.268,282.219,9.085e4,0.045
15.263,282.269,9.094e4,0.045
15.257,282.319,9.102e4,0.045
