# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
246.397,276.711,8.193e4,0.739
246.549,276.631,8.18e4,0.74
246.653,276.551,8.168e4,0.74
246.707,276.471,8.155e4,0.741
246.714,276.391,8.143e4,0.741
246.673,276.311,8.13e4,0.741
246.574,276.231,8.118e4,0.74
246.402,276.151,8.105e4,0.74
246.156,276.071,8.093e4,0.739
245.836,275.991,8.08e4,0.739
245.443,275.911,8.068e4,0.737
244.977,275.832,8.056e4,0.736
244.441,275.752,8.043e4,0.735
243.849,275.673,8.031e4,0.733
243.202,275.594,8.019e4,0.731
242.499,275.515,8.006e4,0.729
241.742,275.437,7.994e4,0.727
240.932,275.358,7.982e4,0.725
240.069,275.28,7.97e4,0.722
239.171,275.202,7.958e4,0.72
238.243,275.125,7.946e4,0.717
237.286,275.048,7.934e4,0.714
236.298,274.971,7.923e4,0.711
235.281,274.894,7.912e4,0.708
234.235,274.818,7.9e4,0.705
233.177,274.742,7.889e4,0.702
232.117,274.667,7.878e4,0.699
231.057,274.592,7.867e4,0.696
229.995,274.517,7.856e4,0.693
228.932,274.442,7.845e4,0.69
227.868,274.368,7.834e4,0.687
226.805,274.294,7.823e4,0.683
225.748,274.221,7.812e4,0.68
224.698,274.148,7.801e4,0.677
223.654,274.075,7.79e4,0.674
222.615,274.003,7.78e4,0.671
221.583,273.931,7.769e4,0.668
221.26,273.908,7.766e4,0.667
220.775,273.874,7.761e4,0.666
220.05,273.823,7.753e4,0.664
219.033,273.752,7.743e4,0.661
218.022,273.681,7.732e4,0.658
217.017,273.611,7.722e4,0.655
216.017,273.54,7.711e4,0.652
215.023,273.471,7.701e4,0.649
214.035,273.401,7.691e4,0.646
213.052,273.332,7.68e4,0.643
212.075,273.263,7.67e4,0.64
211.103,273.194,7.66e4,0.637
210.137,273.126,7.65e4,0.635
209.176,273.058,7.64e4,0.632
208.22,272.99,7.63e4,0.629
207.269,272.922,7.62e4,0.626
206.323,272.855,7.61e4,0.623
205.382,272.789,7.6e4,0.621
204.446,272.722,7.59e4,0.618
203.514,272.656,7.58e4,0.615
